Ticker,Total_Trades,Win_Rate_Pct,Net_PnL,Final_Capital,Avg_Days_Held
RLGT,60,68.33333333333333,459094.81891456246,469094.81891456246,59.45
VMC,170,71.17647058823529,458132.56705901027,468132.56705901027,46.370588235294115
IDCC,136,66.17647058823529,457390.2772401571,467390.2772401571,60.536764705882355
TAP,162,70.37037037037037,453078.9330613613,463078.9330613613,54.53703703703704
PRK,99,79.7979797979798,452333.2670738697,462333.2670738697,56.17171717171717
FSTR,125,68.0,446573.74072790146,456573.74072790146,60.344
LIN,88,79.54545454545455,437857.95485019684,447857.95485019684,48.23863636363637
IVDA,61,70.49180327868852,435761.4604842663,445761.4604842663,56.442622950819676
GSK,137,75.18248175182481,434128.05686819553,444128.05686819553,50.47445255474452
CCI,85,81.17647058823529,432182.24951291084,442182.24951291084,46.576470588235296
DECK,91,72.52747252747253,427106.22534674406,437106.22534674406,53.62637362637363
MCD,165,71.51515151515152,425347.3311288208,435347.3311288208,50.64848484848485
CAT,204,70.09803921568627,424982.6251653135,434982.6251653135,49.68627450980392
HAS,142,75.35211267605634,424362.60768120736,434362.60768120736,45.605633802816904
TROW,111,73.87387387387388,421044.2398189008,431044.2398189008,52.585585585585584
SWBI,87,63.2183908045977,417486.0726084262,427486.0726084262,57.01149425287356
RRX,144,70.83333333333334,416184.09719610214,426184.09719610214,51.27777777777778
TM,132,72.72727272727273,416175.8272125721,426175.8272125721,56.64393939393939
HTO,187,71.12299465240642,415801.3768424392,425801.3768424392,47.07486631016043
AMGN,122,69.67213114754098,415305.3525634408,425305.3525634408,52.18852459016394
AGCO,110,80.0,415126.78535318375,425126.78535318375,49.14545454545455
BN,134,76.86567164179104,414555.9652489573,424555.9652489573,46.12686567164179
CSX,123,78.86178861788618,414145.38630209863,424145.38630209863,52.41463414634146
KMB,139,76.2589928057554,412837.5425437093,422837.5425437093,47.611510791366904
GVA,102,66.66666666666666,411970.0240805149,421970.0240805149,56.8921568627451
FRD,133,70.67669172932331,411063.41398383677,421063.41398383677,59.556390977443606
GABC,103,82.52427184466019,406251.21258354187,416251.21258354187,55.9126213592233
GBCI,94,74.46808510638297,405799.5527289212,415799.5527289212,64.15957446808511
RAVE,92,67.3913043478261,402370.6200160384,412370.6200160384,67.6195652173913
MSFT,101,75.24752475247524,402027.3376260251,412027.3376260251,53.37623762376238
RNST,115,74.78260869565217,401590.79260110855,411590.79260110855,48.91304347826087
PCAR,141,70.2127659574468,400920.6683616042,410920.6683616042,50.354609929078016
HUM,144,68.05555555555556,397176.71798181534,407176.71798181534,49.479166666666664
TTWO,86,74.4186046511628,396304.4235627651,406304.4235627651,50.0
CL,148,72.2972972972973,395322.1712011993,405322.1712011993,53.08108108108108
UGI,146,76.71232876712328,392084.7207057029,402084.7207057029,48.78767123287671
ACH,140,70.71428571428572,389307.17746302485,399307.17746302485,53.72142857142857
MZTI,136,74.26470588235294,385187.7282435894,395187.7282435894,49.838235294117645
APH,100,80.0,384128.8162050247,394128.8162050247,44.66
MKC,178,72.47191011235955,382881.8853485733,392881.8853485733,44.97752808988764
SYY,152,68.42105263157895,382461.0333147049,392461.0333147049,50.48026315789474
RBCAA,77,75.32467532467533,382067.6858906746,392067.6858906746,60.94805194805195
NSC,126,76.98412698412699,381847.1735880375,391847.1735880375,50.42063492063492
MDT,159,71.69811320754717,380291.0797300711,390291.0797300711,48.44025157232704
MLI,99,71.71717171717171,379390.1774521172,389390.1774521172,49.60606060606061
CMCSA,132,72.72727272727273,376757.9631628692,386757.9631628692,52.65151515151515
WEC,125,80.0,376517.6270381808,386517.6270381808,52.352
CRH,103,77.66990291262135,376043.5511132479,386043.5511132479,49.310679611650485
GIS,136,76.47058823529412,374031.4367403984,384031.4367403984,49.48529411764706
MRSH,156,75.64102564102564,373590.4427013397,383590.4427013397,47.72435897435897
DTE,173,78.03468208092485,372494.7560493648,382494.7560493648,53.61271676300578
DHI,88,68.18181818181817,370961.45192170143,380961.45192170143,58.90909090909091
PRGS,103,75.72815533980582,370477.57576584816,380477.57576584816,50.271844660194176
AMZN,82,71.95121951219512,369653.3570064679,379653.3570064679,48.146341463414636
SILO,15,53.333333333333336,365957.1786569208,375957.1786569208,78.26666666666667
STLD,84,75.0,363539.66754567623,373539.66754567623,48.535714285714285
PAYX,123,71.54471544715447,362572.9707258269,372572.9707258269,47.32520325203252
CPB,157,76.43312101910828,361022.652482152,371022.652482152,52.64968152866242
UFCS,133,72.18045112781954,360035.8502421379,370035.8502421379,56.932330827067666
FHI,85,82.35294117647058,355505.60111141205,365505.60111141205,51.129411764705885
DOV,137,73.72262773722628,355400.6048474908,365400.6048474908,46.63503649635037
EME,82,74.39024390243902,352698.6317329407,362698.6317329407,53.853658536585364
BOKF,89,76.40449438202246,352007.99654746056,362007.99654746056,61.17977528089887
AUB,93,74.19354838709677,350074.8169541359,360074.8169541359,58.204301075268816
WRLD,94,74.46808510638297,349063.3209671974,359063.3209671974,60.59574468085106
HON,189,73.54497354497354,349028.6396714449,359028.6396714449,51.5026455026455
ATR,96,82.29166666666666,347833.8717753887,357833.8717753887,44.364583333333336
OPRX,46,60.86956521739131,346820.234498024,356820.234498024,80.08695652173913
SR,145,74.48275862068967,343955.8022054434,353955.8022054434,55.06206896551724
CVBF,133,65.41353383458647,342975.8190778643,352975.8190778643,52.744360902255636
